cc,provider,duracion_min_meses,renovacion_auto,preaviso_dias,penalizacion,terminal_regimen,minimo_mensual,exclusividad,cita_exclusividad,fuente_url,fecha,estado
CY,Viva.com,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Planes por Terminal ID; compra/alquiler y devolución del hardware NO_ENCONTRADO en el documento de Tier Pricing,"Tier Pricing exige compromiso de volumen mensual esperado; importes y bandas no públicos. Plan Zero: factura mínima 4,99 EUR al mes.",NO_ENCONTRADO,El artículo de Tier Pricing no menciona uso de un segundo adquirente.,https://euhelp.viva.com/en/articles/8484758-what-is-the-tier-pricing-model,2026-08-20,PARCIAL_COMPROMISO_VOLUMEN_CONFIRMADO_SIN_DURACION
PL,eService,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Promoción: 0 PLN/mes 12 meses; 1 PLN/mes 18 meses siguientes. La página no publica cuota después del mes 30.,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO: la página comercial no contiene condiciones contractuales sobre un segundo proveedor.,https://www.eservice.pl/terminal-za-darmo-polska-bezgotowkowa,2026-08-20,PARCIAL
PL,PayTel,SEGUN_OFERTA,Sí: la duración determinada pasa a indefinida salvo aviso escrito al menos 1 mes antes.,90 tras pasar a indefinido; 30 para impedir la conversión automática,"Si el comercio resuelve antes una duración determinada por causa propia: 0,5% del valor previsto (media mensual × meses restantes); SoftPOS añade las cuotas de terminal de los periodos restantes.",Arrendamiento; PWOB cubre 12 meses. SoftPOS devenga cuota por terminal según la oferta individual.,PWOB: sin umbral mínimo de facturación. Estándar: NO_ENCONTRADO.,NO_ENCONTRADO,NO_ENCONTRADO: el contrato marco revisado no contiene prohibición literal de trabajar con otro adquirente.,https://lightpos.paytel.pl/pdf/softpos/PAKIET%20SOFTPOS%20ESHOP.pdf?v2=,2026-08-20,PARCIAL
PL,Polskie ePłatności,24,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,"Alquiler: primeros 3 meses 1 PLN/mes; alquiler medio 24 PLN/mes. PepPay app 14,99 PLN/mes; All in One 20 PLN/mes.",NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO: la oferta pública no contiene una cláusula sobre uso paralelo de otro adquirente.,https://sklep.pep.pl/oferta/stabilny-biznes/,2026-08-20,PARCIAL
PL,Revolut Business,0,N/A: contrato indefinido hasta rescisión,30,NO_ENCONTRADO; siguen exigibles las obligaciones financieras y transacciones pendientes.,No disponible en el mercado.,Estándar: NO_ENCONTRADO. Enterprise puede acordar un Minimum Acquiring Markup mensual o anual sin cifra pública.,NO_ENCONTRADO,NO_ENCONTRADO: el Payment Processing Services Agreement vigente no contiene una cláusula literal que prohíba un segundo adquirente.,https://www.revolut.com/pl-PL/legal/business-acquiring/,2026-08-20,PARCIAL
PL,Teya,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,El selector oficial no ofrece locale merchant polaco; no se reutiliza contrato de otro país.,https://pomoc.teya.com/hc/cs-cz/articles/29300601859473-Poplatky-za-Tap-to-Pay,2026-08-20,NO_ENCONTRADO_LOCALIZADO
PL,Viva.com,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Planes por Terminal ID; compra/alquiler y devolución del hardware NO_ENCONTRADO en el documento de Tier Pricing,Tier Pricing exige compromiso de volumen mensual esperado; importes y bandas no públicos. Plan Zero: factura mínima 22 PLN al mes.,NO_ENCONTRADO,El artículo de Tier Pricing no menciona uso de un segundo adquirente.,https://euhelp.viva.com/pl/articles/8484758-czym-jest-model-cenowy-oparty-na-progach,2026-08-20,PARCIAL_COMPROMISO_VOLUMEN_CONFIRMADO_SIN_DURACION
PT,Revolut Business,0,N/A: contrato indefinido hasta rescisión,30,NO_ENCONTRADO; siguen exigibles las obligaciones financieras y transacciones pendientes.,Compra única: Terminal €189 + IVA; Lite €139 + IVA.,Estándar: NO_ENCONTRADO. Enterprise puede acordar un Minimum Acquiring Markup mensual o anual sin cifra pública.,NO_ENCONTRADO,NO_ENCONTRADO: el Payment Processing Services Agreement vigente no contiene una cláusula literal que prohíba un segundo adquirente.,https://www.revolut.com/en-PT/legal/business-acquiring/,2026-08-20,PARCIAL
PT,Teya - Annual Plan,12,Sí; después de 12 meses continúa por tiempo indefinido,0,21 EUR por cada mes que reste hasta completar los 12; desistimiento sin penalización durante 14 días,Terminal de Teya; devolución dentro de 7 días laborables,19.99 EUR si el volumen mensual de tarjeta es inferior a 2500 EUR,NO_ENCONTRADO,Los términos del Annual Plan no publican exclusividad; NO_ENCONTRADO no significa inexistente.,https://www.teya.com/pt/legal/terminal-terms,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
PT,Teya - contrato flexible,0,No; continúa hasta que una parte lo termine,0,Si la Orden fija un Terminal Rental Period: mensualidades restantes más la tarifa de cancelación previamente comunicada; fuera de ese supuesto no se publicó penalización ordinaria,Alquiler; propiedad de Teya; devolución dentro de 7 días laborables tras terminar,19.99 EUR si el volumen mensual de tarjeta es inferior a 2500 EUR,NO_ENCONTRADO,"Los términos localizados revisados regulan terminación y terminal, pero no contienen una cláusula de exclusividad; el silencio no se convierte en 'no'.",https://www.teya.com/pt/legal/terminal-terms,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
PT,Teya - Pay Once,36,NO_ENCONTRADO,NO_ENCONTRADO,El pago Pay Once no es reembolsable,Uso mínimo de 3 años; terminal sigue siendo propiedad de Teya y debe devolverse al finalizar,19.99 EUR si el volumen mensual de tarjeta es inferior a 2500 EUR,NO_ENCONTRADO,No se localizó cláusula de exclusividad en los términos Pay Once revisados.,https://www.teya.com/pt/legal/terminal-terms,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
PT,Viva.com,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Planes por Terminal ID; compra/alquiler y devolución del hardware NO_ENCONTRADO en el documento de Tier Pricing,"Tier Pricing exige compromiso de volumen mensual esperado; importes y bandas no públicos. Plan Zero: factura mínima 4,99 EUR al mes.",NO_ENCONTRADO,El artículo de Tier Pricing no menciona uso de un segundo adquirente.,https://euhelp.viva.com/pt/articles/8484758-o-que-e-o-modelo-de-tarifario-por-escaloes,2026-08-20,PARCIAL_COMPROMISO_VOLUMEN_CONFIRMADO_SIN_DURACION
HR,Revolut Business,0,N/A: contrato indefinido hasta rescisión,30,NO_ENCONTRADO; siguen exigibles las obligaciones financieras y transacciones pendientes.,No disponible en el mercado.,Estándar: NO_ENCONTRADO. Enterprise puede acordar un Minimum Acquiring Markup mensual o anual sin cifra pública.,NO_ENCONTRADO,NO_ENCONTRADO: el Payment Processing Services Agreement vigente no contiene una cláusula literal que prohíba un segundo adquirente.,https://cdn.revolut.com/terms_and_conditions/pdf/payment_processing_services_agreement_ed327049_1.3.0_1757603458_en.pdf,2026-08-20,PARCIAL
HR,Teya - contrato flexible,0,No; continúa hasta que una parte lo termine,0,Sin penalización general; si la Orden fija un Terminal Rental Period: mensualidades restantes más precio de salida previamente comunicado,Alquiler; propiedad de Teya; devolución dentro de 7 días laborables,14.99 EUR si el volumen mensual de tarjeta es inferior a 2500 EUR,NO_ENCONTRADO,Los términos localizados revisados no contienen cláusula de exclusividad.,https://www.teya.com/hr/legal/terminal-terms,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
HR,Teya - Pay Once,36,NO_ENCONTRADO,NO_ENCONTRADO,El pago Pay Once no es reembolsable,Uso mínimo de 3 años; terminal sigue siendo propiedad de Teya y debe devolverse al finalizar,14.99 EUR si el volumen mensual de tarjeta es inferior a 2500 EUR,NO_ENCONTRADO,No se localizó cláusula de exclusividad en los términos Pay Once revisados.,https://www.teya.com/hr/legal/terminal-terms,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
HR,Viva.com,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Planes por Terminal ID; compra/alquiler y devolución del hardware NO_ENCONTRADO en el documento de Tier Pricing,"Tier Pricing exige compromiso de volumen mensual esperado; importes y bandas no públicos. Plan Zero: factura mínima 4,99 EUR al mes.",NO_ENCONTRADO,El artículo de Tier Pricing no menciona uso de un segundo adquirente.,https://euhelp.viva.com/hr/articles/8484758-sto-je-model-viserazinske-naplate,2026-08-20,PARCIAL_COMPROMISO_VOLUMEN_CONFIRMADO_SIN_DURACION
CZ,Revolut Business,0,N/A: contrato indefinido hasta rescisión,30,NO_ENCONTRADO; siguen exigibles las obligaciones financieras y transacciones pendientes.,Compra única: Terminal 4 700 CZK + IVA; Lite 3 340 CZK + IVA.,Estándar: NO_ENCONTRADO. Enterprise puede acordar un Minimum Acquiring Markup mensual o anual sin cifra pública.,NO_ENCONTRADO,NO_ENCONTRADO: el Payment Processing Services Agreement vigente no contiene una cláusula literal que prohíba un segundo adquirente.,https://cdn.revolut.com/terms_and_conditions/pdf/payment_processing_services_agreement_2d7817f8_1.2.0_1758127180_en.pdf,2026-08-20,PARCIAL
CZ,Teya - Annual Plan,12,Sí; después de 12 meses continúa por tiempo indefinido,0,500 CZK por cada mes que reste hasta completar los 12; desistimiento sin penalización durante 14 días,Terminal de Teya; devolución dentro de 7 días laborables,600 CZK si el volumen mensual es inferior a 60000 CZK,NO_ENCONTRADO,No se localizó cláusula de exclusividad en el Annual Plan.,https://www.teya.com/cz/legal/terminal-terms,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
CZ,Teya - contrato flexible,0,No; continúa hasta que una parte lo termine,0,Posible tarifa de desinstalación; si la Orden fija un Terminal Rental Period: mensualidades restantes más precio de salida previamente comunicado,Alquiler; propiedad de Teya; devolución dentro de 7 días laborables,600 CZK si el volumen mensual es inferior a 60000 CZK,NO_ENCONTRADO,"Los términos localizados revisados regulan terminación y equipo, pero no contienen exclusividad.",https://www.teya.com/cz/legal/terminal-terms,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
CZ,Teya - Pay Once,36,NO_ENCONTRADO,NO_ENCONTRADO,El pago Pay Once no es reembolsable,Uso mínimo de 3 años; terminal sigue siendo propiedad de Teya y debe devolverse al finalizar,600 CZK si el volumen mensual es inferior a 60000 CZK,NO_ENCONTRADO,No se localizó cláusula de exclusividad en los términos Pay Once revisados.,https://www.teya.com/cz/legal/terminal-terms,2026-08-20,VERIFICADO_PARCIAL_EXCLUSIVIDAD
CZ,Viva.com,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Planes por Terminal ID; compra/alquiler y devolución del hardware NO_ENCONTRADO en el documento de Tier Pricing,"Tier Pricing exige compromiso de volumen mensual esperado; importes y bandas no públicos. Plan Zero: factura mínima 123,50 CZK al mes.",NO_ENCONTRADO,El artículo de Tier Pricing no menciona uso de un segundo adquirente.,https://euhelp.viva.com/cs/articles/8484758-co-je-to-cenovy-model-tier-pricing-model,2026-08-20,PARCIAL_COMPROMISO_VOLUMEN_CONFIRMADO_SIN_DURACION
DE,Revolut Business,0,N/A: contrato indefinido hasta rescisión,30,NO_ENCONTRADO; siguen exigibles las obligaciones financieras y transacciones pendientes.,Terminal físico no disponible; Tap to Pay usa iPhone propio.,Estándar: NO_ENCONTRADO. Enterprise puede acordar un Minimum Acquiring Markup mensual o anual sin cifra pública.,NO_ENCONTRADO,NO_ENCONTRADO: el Payment Processing Services Agreement vigente no contiene una cláusula literal que prohíba un segundo adquirente.,https://www.revolut.com/de-DE/legal/business-acquiring/,2026-08-20,PARCIAL
DE,Teya,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,El selector oficial no ofrece locale merchant alemán; no se reutiliza contrato de otro país.,https://pomoc.teya.com/hc/cs-cz/articles/29300601859473-Poplatky-za-Tap-to-Pay,2026-08-20,NO_ENCONTRADO_LOCALIZADO
DE,Viva.com,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,NO_ENCONTRADO,Planes por Terminal ID; compra/alquiler y devolución del hardware NO_ENCONTRADO en el documento de Tier Pricing,"Tier Pricing exige compromiso de volumen mensual esperado; importes y bandas no públicos. Plan Zero: factura mínima 4,99 EUR al mes.",NO_ENCONTRADO,El artículo de Tier Pricing no menciona uso de un segundo adquirente.,https://euhelp.viva.com/de/articles/8484758-was-ist-das-tier-pricing-model,2026-08-20,PARCIAL_COMPROMISO_VOLUMEN_CONFIRMADO_SIN_DURACION
